instance,weight,satisfied_clauses,clauses,true_variables,variables,current_objective_history,best_objective_history
wuf20-0230.mwcnf,5280,60,71,19,21,[],[]
wuf20-0231.mwcnf,5283,61,71,19,21,[],[]
wuf20-0232.mwcnf,6061,61,71,18,21,[],[]
wuf20-0233.mwcnf,6370,60,71,19,21,[],[]
wuf20-0234.mwcnf,5278,62,71,18,21,[],[]
wuf20-0235.mwcnf,7505,68,71,19,21,[],[]
wuf20-0236.mwcnf,7400,61,71,19,21,[],[]
wuf20-0237.mwcnf,4989,54,71,18,21,[],[]
wuf20-0238.mwcnf,6428,59,71,19,21,[],[]
wuf20-0239.mwcnf,6780,67,71,18,21,[],[]
wuf20-024.mwcnf,4730,61,71,18,21,[],[]
wuf20-0240.mwcnf,6441,65,71,19,21,[],[]
wuf20-0241.mwcnf,5867,63,71,19,21,[],[]
wuf20-0242.mwcnf,6019,64,71,19,21,[],[]
wuf20-0243.mwcnf,5053,67,71,19,21,[],[]
wuf20-0244.mwcnf,5802,56,71,18,21,[],[]
wuf20-0245.mwcnf,4671,62,71,18,21,[],[]
wuf20-0246.mwcnf,5824,56,71,19,21,[],[]
wuf20-0247.mwcnf,7541,65,71,19,21,[],[]
wuf20-0248.mwcnf,6737,65,71,19,21,[],[]
wuf20-0249.mwcnf,6527,61,71,19,21,[],[]
wuf20-025.mwcnf,6688,65,71,19,21,[],[]
wuf20-0250.mwcnf,6880,61,71,18,21,[],[]
wuf20-0251.mwcnf,6944,59,71,20,21,[],[]
wuf20-0252.mwcnf,5871,60,71,19,21,[],[]
wuf20-0253.mwcnf,5903,63,71,18,21,[],[]
wuf20-0254.mwcnf,6755,64,71,19,21,[],[]
wuf20-0255.mwcnf,5765,64,71,19,21,[],[]
wuf20-0256.mwcnf,6677,65,71,18,21,[],[]
wuf20-0257.mwcnf,6306,56,71,19,21,[],[]
wuf20-0258.mwcnf,6720,67,71,18,21,[],[]
wuf20-0259.mwcnf,6194,59,71,18,21,[],[]
wuf20-026.mwcnf,6498,63,71,19,21,[],[]
wuf20-0260.mwcnf,5211,59,71,18,21,[],[]
wuf20-0261.mwcnf,5821,58,71,19,21,[],[]
wuf20-0262.mwcnf,5778,61,71,19,21,[],[]
wuf20-0263.mwcnf,6854,61,71,19,21,[],[]
wuf20-0264.mwcnf,4849,60,71,18,21,[],[]
wuf20-0265.mwcnf,7515,66,71,18,21,[],[]
wuf20-0266.mwcnf,7170,59,71,19,21,[],[]
wuf20-0267.mwcnf,6111,63,71,19,21,[],[]
wuf20-0268.mwcnf,7566,67,71,20,21,[],[]
wuf20-0269.mwcnf,5419,58,71,19,21,[],[]
wuf20-027.mwcnf,6574,65,71,19,21,[],[]
wuf20-0270.mwcnf,7425,67,71,19,21,[],[]
wuf20-0271.mwcnf,6803,63,71,20,21,[],[]
wuf20-0272.mwcnf,5297,61,71,18,21,[],[]
wuf20-0273.mwcnf,6074,66,71,19,21,[],[]
wuf20-0274.mwcnf,7162,64,71,20,21,[],[]
wuf20-0275.mwcnf,5365,61,71,19,21,[],[]
wuf20-0276.mwcnf,5856,58,71,18,21,[],[]
wuf20-0277.mwcnf,5071,56,71,18,21,[],[]
wuf20-0278.mwcnf,4815,59,71,19,21,[],[]
wuf20-0279.mwcnf,7336,65,71,19,21,[],[]
wuf20-028.mwcnf,3590,60,71,19,21,[],[]
wuf20-0280.mwcnf,6720,64,71,19,21,[],[]
wuf20-0281.mwcnf,6494,67,71,19,21,[],[]
wuf20-0282.mwcnf,5520,58,71,18,21,[],[]
wuf20-0283.mwcnf,7539,65,71,20,21,[],[]
wuf20-0284.mwcnf,5656,62,71,19,21,[],[]
wuf20-0285.mwcnf,5619,63,71,18,21,[],[]
wuf20-0286.mwcnf,6005,60,71,19,21,[],[]
wuf20-0287.mwcnf,5987,61,71,18,21,[],[]
wuf20-0288.mwcnf,6898,61,71,20,21,[],[]
wuf20-0289.mwcnf,4174,66,71,18,21,[],[]
wuf20-029.mwcnf,3516,60,71,19,21,[],[]
wuf20-0290.mwcnf,3893,61,71,19,21,[],[]
wuf20-0291.mwcnf,5609,67,71,18,21,[],[]
wuf20-0292.mwcnf,4516,62,71,19,21,[],[]
wuf20-0293.mwcnf,5263,66,71,19,21,[],[]
wuf20-0294.mwcnf,4629,63,71,19,21,[],[]
wuf20-0295.mwcnf,4221,63,71,20,21,[],[]
wuf20-0296.mwcnf,4009,61,71,19,21,[],[]
wuf20-0297.mwcnf,2978,56,71,18,21,[],[]
wuf20-0298.mwcnf,4116,62,71,18,21,[],[]
wuf20-0299.mwcnf,3909,65,71,19,21,[],[]
wuf20-03.mwcnf,4632,64,71,19,21,[],[]
wuf20-030.mwcnf,4305,61,71,18,21,[],[]
wuf20-0300.mwcnf,4586,64,71,19,21,[],[]
wuf20-0301.mwcnf,4735,59,71,19,21,[],[]
wuf20-0302.mwcnf,4697,63,71,18,21,[],[]
wuf20-0303.mwcnf,3612,62,71,18,21,[],[]
wuf20-0304.mwcnf,3436,64,71,18,21,[],[]
wuf20-0305.mwcnf,4124,62,71,18,21,[],[]
wuf20-0306.mwcnf,3895,59,71,20,21,[],[]
wuf20-0307.mwcnf,5064,67,71,20,21,[],[]
wuf20-0308.mwcnf,4936,63,71,20,21,[],[]
wuf20-0309.mwcnf,3808,60,71,19,21,[],[]
wuf20-031.mwcnf,4006,60,71,19,21,[],[]
wuf20-0310.mwcnf,4047,61,71,18,21,[],[]
wuf20-0311.mwcnf,4901,63,71,19,21,[],[]
wuf20-0312.mwcnf,4185,60,71,19,21,[],[]
wuf20-0313.mwcnf,3785,67,71,18,21,[],[]
wuf20-0314.mwcnf,4579,64,71,18,21,[],[]
wuf20-0315.mwcnf,4885,66,71,19,21,[],[]
wuf20-0316.mwcnf,3620,58,71,19,21,[],[]
wuf20-0317.mwcnf,3390,59,71,19,21,[],[]
wuf20-0318.mwcnf,5153,62,71,19,21,[],[]
wuf20-0319.mwcnf,5255,67,71,19,21,[],[]
wuf20-032.mwcnf,4783,65,71,19,21,[],[]
wuf20-0320.mwcnf,4671,63,71,19,21,[],[]
wuf20-0321.mwcnf,4140,63,71,20,21,[],[]
wuf20-0322.mwcnf,3675,58,71,18,21,[],[]
wuf20-0323.mwcnf,3287,57,71,18,21,[],[]
wuf20-0324.mwcnf,3803,62,71,18,21,[],[]
wuf20-0325.mwcnf,5315,65,71,18,21,[],[]
wuf20-0326.mwcnf,4023,62,71,19,21,[],[]
wuf20-0327.mwcnf,4314,63,71,19,21,[],[]
wuf20-0328.mwcnf,4254,60,71,19,21,[],[]
wuf20-0329.mwcnf,3744,62,71,19,21,[],[]
wuf20-033.mwcnf,3711,62,71,19,21,[],[]
wuf20-0330.mwcnf,3213,60,71,20,21,[],[]
wuf20-0331.mwcnf,4507,61,71,19,21,[],[]
wuf20-0332.mwcnf,3609,58,71,19,21,[],[]
wuf20-0333.mwcnf,4954,64,71,19,21,[],[]
wuf20-0334.mwcnf,3677,59,71,19,21,[],[]
wuf20-0335.mwcnf,4433,63,71,19,21,[],[]
wuf20-0336.mwcnf,3119,63,71,19,21,[],[]
wuf20-0337.mwcnf,4140,66,71,19,21,[],[]
wuf20-0338.mwcnf,4030,64,71,19,21,[],[]
wuf20-0339.mwcnf,5225,69,71,18,21,[],[]
wuf20-034.mwcnf,4488,65,71,18,21,[],[]
wuf20-0340.mwcnf,4650,63,71,18,21,[],[]
wuf20-0341.mwcnf,4874,67,71,19,21,[],[]
wuf20-0342.mwcnf,4408,61,71,19,21,[],[]
wuf20-0343.mwcnf,4128,61,71,19,21,[],[]
wuf20-0344.mwcnf,3923,57,71,18,21,[],[]
wuf20-0345.mwcnf,4805,61,71,19,21,[],[]
wuf20-0346.mwcnf,3922,63,71,18,21,[],[]
wuf20-0347.mwcnf,5126,68,71,20,21,[],[]
wuf20-0348.mwcnf,4965,64,71,18,21,[],[]
wuf20-0349.mwcnf,3935,63,71,20,21,[],[]
wuf20-035.mwcnf,4486,59,71,19,21,[],[]
wuf20-0350.mwcnf,3324,64,71,18,21,[],[]
wuf20-0351.mwcnf,5365,63,71,20,21,[],[]
wuf20-0352.mwcnf,4571,62,71,19,21,[],[]
wuf20-0353.mwcnf,5884,67,71,19,21,[],[]
wuf20-0354.mwcnf,3516,65,71,19,21,[],[]
wuf20-0355.mwcnf,4884,64,71,19,21,[],[]
wuf20-0356.mwcnf,5660,65,71,20,21,[],[]
wuf20-0357.mwcnf,4205,64,71,18,21,[],[]
wuf20-0358.mwcnf,5477,68,71,19,21,[],[]
wuf20-0359.mwcnf,3534,58,71,19,21,[],[]
wuf20-036.mwcnf,4778,66,71,18,21,[],[]
wuf20-0360.mwcnf,4201,62,71,19,21,[],[]
wuf20-0361.mwcnf,3917,57,71,18,21,[],[]
wuf20-0362.mwcnf,4122,62,71,19,21,[],[]
wuf20-0363.mwcnf,5416,67,71,19,21,[],[]
wuf20-0364.mwcnf,4004,62,71,19,21,[],[]
wuf20-0365.mwcnf,3647,59,71,19,21,[],[]
wuf20-0366.mwcnf,4233,63,71,18,21,[],[]
wuf20-0367.mwcnf,4211,64,71,19,21,[],[]
wuf20-0368.mwcnf,5170,67,71,19,21,[],[]
wuf20-0369.mwcnf,4130,60,71,18,21,[],[]
